Категорія ;Назва об'єкта українською мовою;Код
Село;ПІОНЕРСЬКЕ;0111692909
Село;СОНЯЧНЕ;0111692911
Село;ЮЖНЕ;0111692913
Місто;СУДАК;0111700000
СМТ;НОВИЙ СВІТ;0111745200
Село;ВЕСЕЛЕ;0111790201
Село;ГРУШІВКА;0111790401
Село;ПЕРЕВАЛІВКА;0111790402
Село;ХОЛОДІВКА;0111790403
Село;ДАЧНЕ;0111790701
Село;ЛІСНЕ;0111790702
Село;МІЖРІЧЧЯ;0111791401
Село;ВОРОН;0111791402
Село;МОРСЬКЕ;0111791601
Село;ГРОМІВКА;0111791602
Село;СОНЯЧНА ДОЛИНА;0111792301
Село;БАГАТІВКА;0111792302
Село;МИНДАЛЬНЕ;0111792303
Село;ПРИБЕРЕЖНЕ;0111792304
Місто;ЯЛТА;0111900000
СМТ;БЕРЕГОВЕ;0111945200
СМТ;НІКІТА;0111945400
СМТ;ВИНОГРАДНЕ;0111945600
СМТ;ВОСХОД;0111945900
СМТ;ГАСПРА;0111946200
СМТ;ГОЛУБА ЗАТОКА;0111946500
СМТ;ГУРЗУФ;0111946800
Селище;ДАНИЛІВКА;0111946801
Селище;ЛІНІЙНЕ;0111946803
Селище;ПАРТИЗАНСЬКЕ;0111946805
СМТ;КАЦІВЕЛІ;0111947000
СМТ;КОРЕЇЗ;0111947100
СМТ;КРАСНОКАМ'ЯНКА;0111947400
СМТ;КУРПАТИ;0111947700
СМТ;ЛІВАДІЯ;0111947900
Селище;ВИСОКОГІРНЕ;0111947901
Селище;ГІРНЕ;0111947903
Селище;КУЙБИШЕВЕ;0111947905
Селище;ОХОТНИЧЕ;0111947907
СМТ;МАСАНДРА;0111948100
СМТ;ОРЕАНДА;0111948300
СМТ;ВІДРАДНЕ;0111948500
СМТ;ПАРКОВЕ;0111948700
СМТ;ПОНИЗІВКА;0111948900
СМТ;САНАТОРНЕ;0111949100
СМТ;СІМЕЇЗ;0111949300
Село;ОПОЛЗНЕВЕ;0111949301
СМТ;СОВЄТСЬКЕ;0111949500
СМТ;ФОРОС;0111949700
Селище;ОЛИВА;0111949701
Місто;АЛУПКА;0111970200
Місто;БАХЧИСАРАЙ;0120410100
СМТ;НАУЧНИЙ;0120445100
СМТ;КУЙБИШЕВЕ;0120455300
Село;ВЕЛИКЕ САДОВЕ;0120455301
Село;ВИСОКЕ;0120455302
Село;МАЛЕ САДОВЕ;0120455303
Село;НОВОУЛЬЯНІВКА;0120455304
Село;ТАНКОВЕ;0120455305
СМТ;ПОШТОВЕ;0120455600
Село;ЗАВІТНЕ;0120455601
Село;ЗУБАКІНЕ;0120455602
Село;КАЗАНКИ;0120455603
Село;МАЛИНІВКА;0120455604
Село;НОВОВАСИЛІВКА;0120455605
Село;НОВОПАВЛІВКА;0120455606
Село;ПРИЯТНЕ СВІДАННЯ;0120455607
Село;РОСТУЧЕ;0120455608
Село;САМОХВАЛОВЕ;0120455609
Село;СЕВАСТЯНІВКА;0120455610
Селище;СТАЛЬНЕ;0120455611
Село;ТОПОЛІ;0120455612
Село;АРОМАТНЕ;0120480401
Село;ВІКТОРІВКА;0120480402
Село;МАЛОВИДНЕ;0120480403
Село;РЄПІНЕ;0120480404
Село;РОЗОВЕ;0120480405
Село;ВЕРХОРІЧЧЯ;0120480801
Село;БАШТАНІВКА;0120480802
Село;КУДРИНЕ;0120480803
Село;МАШИНЕ;0120480804
Село;ПЕРЕДУЩЕЛЬНЕ;0120480806
Село;СИНАПНЕ;0120480807
Село;ВІЛІНЕ;0120481301
Село;РОЗСАДНЕ;0120481302
Село;ГОЛУБИНКА;0120481901
Село;АРОМАТ;0120481902
Село;БАГАТА УЩЕЛИНА;0120481903
Село;НИЖНЯ ГОЛУБИНКА;0120481904
Село;НОВОПІЛЛЯ;0120481905
Село;ПОЛЯНА;0120481906
Село;ПУТИЛІВКА;0120481907
Село;СОКОЛИНЕ;0120481908
Село;СОНЯЧНОСІЛЛЯ;0120481909
Село;ДОЛИННЕ;0120482201
Село;НОВЕНЬКЕ;0120482202
Село;ФУРМАНОВКА;0120482203
Село;ЗАЛІЗНИЧНЕ;0120482501
Село;БІЛОКАМ'ЯНЕ;0120482502
Село;ДАЧНЕ;0120482503
Село;МОСТОВЕ;0120482504
Село;РІЧНЕ;0120482505
Селище;СИРЕНЬ;0120482506
Село;ТУРГЕНЄВКА;0120482507
Село;ЗЕЛЕНЕ;0120482901
Село;БОГАТИР;0120482902
Село;МНОГОРІЧЧЯ;0120482903
Село;НАГІРНЕ;0120482904
Село;ПЛОТИННЕ;0120482905
Село;ЩАСЛИВЕ;0120482906
Село;КАШТАНИ;0120483601
Село;ВІДРАДНЕ;0120483602
Село;КОЧЕРГІНЕ;0120483603
Село;ШЕВЧЕНКОВЕ;0120483604
Село;КРАСНИЙ МАК;0120483901
Село;ЗАЛІСНЕ;0120483902
Село;ХОЛМІВКА;0120483903
Село;ХОДЖА САЛА;0120483905
Село;ПІЩАНЕ;0120484401
Село;БЕРЕГОВЕ;0120484402
Село;ПЛОДОВЕ;0120484601
Село;БРЯНСЬКЕ;0120484602
Село;ГІРКА;0120484603
Село;ДІБРІВКА;0120484604
Село;ДОРОЖНЄ;0120484605
Село;СКАЛИСТЕ;0120485001
Село;ГЛИБОКИЙ ЯР;0120485002
Село;ПРОХЛАДНЕ;0120485003
Село;ТРУДОЛЮБІВКА;0120485004
Село;ТАБАЧНЕ;0120485501
Село;ТІНИСТЕ;0120486201
Село;АЙВОВЕ;0120486202
Село;КРАСНА ЗОРЯ;0120486203
Село;НЕКРАСОВКА;0120486204
Село;СУВОРОВЕ;0120486205
Село;УГЛОВЕ;0120488401
Місто;БІЛОГІРСЬК;0120710100
СМТ;ЗУЯ;0120755300
Село;БАЛАНОВЕ;0120755301
Село;БАРАБАНОВЕ;0120755302
Село;ВЕРХНІ ОРІШНИКИ;0120755303
Село;ВОЛОДИМИРІВКА;0120755305
Село;ЛИТВИНЕНКОВЕ;0120755307
Село;НИЖНІ ОРІШНИКИ;0120755308
Село;ПЕТРОВЕ;0120755309
Село;УКРАЇНКА;0120755310
Село;АРОМАТНЕ;0120780401
Село;КРАСНОГІРСЬКЕ;0120780402
Село;КУРОРТНЕ;0120780403
Село;БАГАТЕ;0120780801
Село;ГОРЛИНКА;0120780802
Село;КРАСНА СЛОБОДА;0120780803
Село;МЕЛЕХОВЕ;0120780804
Село;ПОВОРОТНЕ;0120780805
Село;РУСЬКЕ;0120780806
Село;ЧЕРЕМИСІВКА;0120780807
Село;ВАСИЛІВКА;0120781301
Село;МАЛИНІВКА;0120781303
Село;НЕКРАСОВЕ;0120781304
Село;ПАВЛІВКА;0120781305
Село;ПРОЛОМ;0120781306
Село;СЄВЕРНЕ;0120781307
Село;ВИШЕННЕ;0120781901
Село;БІЛА СКЕЛЯ;0120781902
Село;МИРОНІВКА;0120781903
Село;ЗЕЛЕНОГІРСЬКЕ;0120782501
Село;БАЛКИ;0120782502
Село;МІЖГІР'Я;0120782503
Село;НОВОГРИГОРІВКА;0120782505
Село;НОВОКЛЕНОВЕ;0120782506
Село;ОВРАЖКИ;0120782507
Село;ОЛЕКСАНДРІВКА;0120782508
Село;ПАСІЧНЕ;0120782509
Село;ПЧОЛИНЕ;0120782510
Село;ЯКОВЛІВКА;0120782511
Село;ЗЕМЛЯНИЧНЕ;0120782701
Село;ОЛЕНІВКА;0120782702
Село;ОПИТНЕ;0120782703
Село;РАДІСНЕ;0120782704
Село;РОДНИКИ;0120782705
Село;СИНЬОКАМ'ЯНКА;0120782706
Село;УЧЕБНЕ;0120782707
Село;ЗИБИНИ;0120782901
Село;МЕЛЬНИКИ;0120782902
Село;КРИНИЧНЕ;0120783401
Село;АЛЕКСЄЄВКА;0120783402
Село;ГОЛОВАНІВКА;0120783404
Село;КАРАСІВКА;0120783405
Село;КИРПИЧНЕ;0120783406
Село;КРАСНОСЕЛІВКА;0120783407
Село;ЯБЛУЧНЕ;0120783409
Село;КРИМСЬКА РОЗА;0120783601
Село;ВИШНЕВЕ;0120783603
Село;КУРСЬКЕ;0120783801
Село;ТОПОЛІВКА;0120783802
Село;МЕЛЬНИЧНЕ;0120784201
Село;УДАРНЕ;0120784202
Село;МІЧУРІНСЬКЕ;0120784601
Село;ЛІЧЕБНЕ;0120784602
Село;МУРОМСЬКЕ;0120785001
Село;ДИВНЕ;0120785002
Село;КРИВЦОВЕ;0120785003
Село;СІННЕ;0120785005
Село;ХЛІБНЕ;0120785006
Село;НОВОЖИЛІВКА;0120785801
Село;АННІВКА;0120785802
Село;НОВООЛЕКСАНДРІВКА;0120785803
Село;ТУРГЕНЄВЕ;0120785804
Село;РУСАКІВКА;0120786301
Село;ЛУГОВЕ;0120786302
Село;ЦВІТОЧНЕ;0120788401
Село;ДОЛИНІВКА;0120788402
Село;ЧОРНОПІЛЛЯ;0120788801
Село;ДОЗОРНЕ;0120788802
Село;КИЗИЛІВКА;0120788803
Село;УЛЬЯНОВКА;0120788804
СМТ;АЗОВСЬКЕ;0121155200
СМТ;ВІЛЬНЕ;0121155400
Село;ЄРМАКОВЕ;0121180601
Село;ВІТВИСТЕ;0121180602
Село;КОПАНІ;0121180603
Село;ОСТРОВСЬКЕ;0121180604
Село;ПРИДОРОЖНЄ;0121180605
Село;СОЛОНЕ ОЗЕРО;0121180606
Село;СТОВПОВЕ;0121180607
Село;ЗАВІТ-ЛЕНІНСЬКИЙ;0121180801
Село;ЗЕЛЕНИЙ ЯР;0121180802
Село;МАРТИНІВКА;0121180803
Село;МІЛКОВОДНЕ;0121180804
Село;ПУШКІНЕ;0121180805
Село;СОЛОНЦЕВЕ;0121180806
Село;ЗАРІЧНЕ;0121181301
Село;АРМІЙСЬКЕ;0121181302
Село;БОЛОТНЕ;0121181303
Селище;МИТЮРИНЕ;0121181305
Село;НИЗИННЕ;0121181306
Село;ПЕРЕПІЛКИНЕ;0121181307
Село;СУМІЖНЕ;0121181308
Село;ІЗУМРУДНЕ;0121181501
Село;ДМИТРІВКА;0121181502
Село;КАЛИНІВКА;0121181503
Село;МІЧУРІНІВКА;0121181504
Село;НОВОСТЕПОВЕ;0121181505
Село;ОВОЧЕВЕ;0121181506
Село;КІНДРАТОВЕ;0121181701
Селище;ДОРОЖНЄ;0121181702
Село;РУБИНІВКА;0121181703
Село;СОВЄТСЬКЕ;0121181704
Село;КРИМКА;0121181801
Село;ЛОБАНОВЕ;0121181901
Село;ЖИЛИНЕ;0121181903
Село;МАР'ЇНЕ;0121181904
Село;ОРДЕНОНОСНЕ;0121181905
Селище;ЯСНЕ;0121181906
Село;ЛУГАНСЬКЕ;0121182301
Село;КОВИЛЬНЕ;0121182302
Село;ПРОБУДЖЕННЯ;0121182303
Село;ТУТОВЕ;0121182304
Село;УДАРНЕ;0121182305
Село;МАЙСЬКЕ;0121182501
Село;БЛИЖНЄ;0121182502
Село;ЛАРИНЕ;0121182503
Село;ОКТЯБР;0121182505
Село;ПОЛЬОВЕ;0121182506
Село;МАСЛОВЕ;0121182901
Село;КОМСОМОЛЬСЬКЕ;0121182902
Село;СУБОТНИК;0121182903
Село;МЕДВЕДІВКА;0121183401
Село;ПЕРЕДМІСТНЕ;0121183402
Село;ТУРГЕНЄВЕ;0121183403
Село;МИРНІВКА;0121183601
Село;ДНІПРОВКА;0121183602
Село;КОСТЯНТИНІВКА;0121183603
Село;РИСАКОВЕ;0121183604
Село;ТИМОФІЇВКА;0121183605
Село;НОВОКРИМСЬКЕ;0121183801
Село;ІСТОЧНЕ;0121183802
Село;ПАВЛІВКА;0121183803
Село;ПАХАРІВКА;0121184001
Село;ВИПАСНЕ;0121184002
Село;ПОБЄДНЕ;0121184101
Село;НОВЕ ЖИТТЯ;0121184102
Село;ТАРАСІВКА;0121184103
Село;ПРОСТОРНЕ;0121184201
Село;АНТОНІВКА;0121184202
Село;АПРЕЛІВКА;0121184203
Село;БОРОДІНО;0121184205
Село;НИЖНІ ОТРОЖКИ;0121184207
Село;СЛОВ'ЯНСЬКЕ;0121184208
Село;СТЕФАНІВКА;0121184209
Село;РОЗКІШНЕ;0121185501
Село;ЗЕРНОВЕ;0121185503
Село;РОЩИНЕ;0121185601
Село;БЛИЖНЬОГОРОДСЬКЕ;0121185602
Село;КРАСНОДОЛЬНЕ;0121185603
Село;ОЗЕРНЕ;0121185604
Село;СЄРНОВОДСЬКЕ;0121185605
Село;СВІТЛЕ;0121185801
Село;БЛАГОДАТНЕ;0121185805
Село;СТАЛЬНЕ;0121186001
Село;МНОГОВОДНЕ;0121186002
Село;НОВОКОСТЯНТИНІВКА;0121186003
Село;НОВОПАВЛІВКА;0121186004
Село;НОВОФЕДОРІВКА;0121186005
Село;ОЗЕРКИ;0121186006
Село;ПРОЗРАЧНЕ;0121186007
Село;РІДНЕ;0121186008
Село;ТАБАЧНЕ;0121186201
Село;НОВОСІЛЬЦЕВЕ;0121186203
Село;ФЕДОРІВКА;0121186207
Село;ХЛІБНЕ;0121186209
Село;ЦІЛИННЕ;0121187201
Село;КОЛОСКИ;0121187202
Село;ТОМАШІВКА;0121187203
Село;ЧАЙКИНЕ;0121187501
Село;МИСОВЕ;0121187503
Село;ЯРКЕ;0121188201
Село;ЯСТРУБЦІ;0121188204
Село;ЯРКЕ ПОЛЕ;0121188401
Село;АРБУЗІВКА;0121188402
Село;ВЕСЕЛЕ;0121188403
Село;ВІДРАДНЕ;0121188404
Селище;ДІБРІВКА;0121188406
Село;НАХІДКА;0121188407
Село;СЛОВ'ЯНКА;0121188408
Село;ТІМІРЯЗЄВЕ;0121188409
Село;ЯСНОПОЛЯНСЬКЕ;0121188601
Селище;ВОЛОДИНЕ;0121188602
Село;РЮМШИНЕ;0121188603
Місто;СТАРИЙ КРИМ;0121610400
СМТ;КІРОВСЬКЕ;0121655100
Село;АБРИКОСІВКА;0121680101
Село;БАБЕНКОВЕ;0121680102
Село;КРИНИЧКИ;0121680103
Село;МАТРОСІВКА;0121680104
Село;ВЛАДИСЛАВІВКА;0121680801
Селище;ВУЗЛОВЕ;0121680802
Село;ЖУРАВКИ;0121681801
Село;ВИДНЕ;0121681802
Село;МАКІВСЬКЕ;0121681803
Село;НОВОПОКРОВКА;0121681804
Село;ТУТІВКА;0121681805
Село;ЗОЛОТЕ ПОЛЕ;0121682201
Село;ВІДРОДЖЕННЯ;0121682202
Село;ЛЬГОВСЬКЕ;0121682601
Село;ДОБРОЛЮБОВКА;0121682602
Село;ДОЛИННЕ;0121682603
Село;ПРУДИ;0121682604
Село;ПАРТИЗАНИ;0121682801
Село;СПАСІВКА;0121682802
Село;ПЕРВОМАЙСЬКЕ;0121683001
Село;ВІДВАЖНЕ;0121683002
Село;ЖЕМЧУЖИНА КРИМУ;0121683003
Село;ІЗОБІЛЬНЕ;0121683004
Село;ІЗЮМІВКА;0121683005
Село;КЛЮЧОВЕ;0121683006
Село;САДОВЕ;0121683007
Село;ПРИВІТНЕ;0121683401
Село;АЙВАЗОВСЬКЕ;0121683402
Село;СИНИЦИНЕ;0121683901
Село;ВАСИЛЬКОВЕ;0121683902
Село;КРАСНІВКА;0121683903
Село;ТОКАРЄВЕ;0121684601
Село;ШУБИНЕ;0121684605
Село;ЯРКЕ ПОЛЕ;0121686101
Село;КРАСНОСІЛЬСЬКЕ;0121686103
Село;НОВОФЕДОРІВКА;0121686105
Село;ОРІХІВКА;0121686107
Село;СОФІЇВКА;0121686109
Село;ТРУДОЛЮБІВКА;0121686111
СМТ;КРАСНОГВАРДІЙСЬКЕ;0122055100
Селище;ВИДНЕ;0122055101
СМТ;ОКТЯБРСЬКЕ;0122055400
Село;ОЛЕКСАНДРІВКА;0122080301
Село;КРАСНОДАРКА;0122080302
Село;ТИМАШІВКА;0122080303
Село;АМУРСЬКЕ;0122080601
Село;ІСКРА;0122080602
Село;НОВОЗУЇВКА;0122080603
Село;НОВОІВАНІВКА;0122080604
Село;НОВООЛЕКСІЇВКА;0122080605
Село;ЦВІТКОВЕ;0122080606
Село;ВОСХОД;0122080801
Село;ВОЛОДИМИРОВЕ;0122080802
Село;ДОХОДНЕ;0122080803
Село;ЗОРЯ;0122080804
Село;ЗНАМ'ЯНКА;0122080805
Село;КЛИМОВЕ;0122080806
Село;НАХІМОВЕ;0122080807
Село;НОВОСІЛЬЦІ;0122080808
Село;ПЛОДОРОДНЕ;0122080809
Село;ЧАПАЄВЕ;0122080810
Село;ЗЕРНОВЕ;0122081001
Село;НОВОКАТЕРИНІВКА;0122081002
Село;КАЛІНІНЕ;0122081401
Село;ВИШНЯКІВКА;0122081402
Село;КОМУНАРИ;0122081403
Село;ПОБЄДИНЕ;0122081404
Село;КЛЕПИНІНЕ;0122081801
Село;КАРПІВКА;0122081802
Село;ЯСТРУБІВКА;0122081803
Село;КОЛОДЯЗНЕ;0122082201
Село;ДОКУЧАЄВЕ;0122082203
Село;ПОЛОГИ;0122082205
Село;КОТЕЛЬНИКОВЕ;0122082401
Село;ДІБРІВСЬКЕ;0122082402
Село;МАШИНЕ;0122082403
Село;КРАСНОЗНАМ'ЯНКА;0122082601
Село;РАДУЖНЕ;0122082602
Село;РОГОВЕ;0122082603
Село;СИМОНЕНКО;0122082604
Село;ТИМОШЕНКО;0122082605
Село;ТРАКТОВЕ;0122082606
Село;ЛЕНІНСЬКЕ;0122082901
Село;ЗВІЗДНЕ;0122082902
Село;ПРЯМЕ;0122082904
Село;МАР'ЯНІВКА;0122083601
Село;УЛЬЯНОВКА;0122083602
Село;ЩЕРБАКОВЕ;0122083603
Село;НАЙДЬОНІВКА;0122084001
Село;ЗОЛОТЕ;0122084002
Село;ОРЛІВКА;0122084003
Село;НОВОПОКРОВКА;0122084401
Село;КРАСНА ДОЛИНА;0122084402
Село;МИРОНІВКА;0122084403
Село;МУСКАТНЕ;0122084404
Село;НЕВСЬКЕ;0122084405
Село;НОВОДОЛИНКА;0122084406
Село;ПРОТОЧНЕ;0122084407
Село;ПЕТРІВКА;0122084801
Село;БЛИЖНЄ;0122084802
Село;ІЗВЕСТКОВЕ;0122084803
Село;КРАСНА ПОЛЯНА;0122084804
Село;КРЕМНІВКА;0122084805
Село;МИРОЛЮБІВКА;0122084806
Село;НОВОЕСТОНІЯ;0122084807
Село;ПУШКІНЕ;0122084808
Село;ПОЛТАВКА;0122085301
Село;КОМАРІВКА;0122085302
Село;КУРГАННЕ;0122085303
Село;П'ЯТИХАТКА;0122085601
Село;АЗОВ;0122085603
Село;ЗАРІЧНЕ;0122085605
Село;МЕНДЕЛЄЄВЕ;0122085609
Село;САЛГИРКА;0122085611
Село;ХОЛМОВЕ;0122085613
Село;РІВНЕ;0122086501
Село;МОЛОЧНЕ;0122086503
Село;НЕКРАСОВЕ;0122086504
Село;НОВОМИКІЛЬСЬКЕ;0122086505
Село;ЯНТАРНЕ;0122088701
Село;ГРИГОРІВКА;0122088702
Село;КРАСНИЙ ПАРТИЗАН;0122088703
Село;УДАЧНЕ;0122088704
Село;БРАТСЬКЕ;0122380401
Село;ПОЛТАВСЬКЕ;0122380402
Село;СВАТОВЕ;0122380403
Село;ВИШНІВКА;0122380801
Село;ЗЕЛЕНА НИВА;0122380802
Село;КРІПКЕ;0122380803
Село;УТКІНЕ;0122380804
Село;ВОЇНКА;0122381301
Село;ІСТОЧНЕ;0122381302
Село;ІЛЛІНКА;0122381801
Село;ВОРОНЦІВКА;0122381802
Село;КУРГАННЕ;0122381803
Село;ТРАКТОВЕ;0122381804
Село;ІШУНЬ;0122382201
Село;НОВОРИБАЦЬКЕ;0122382203
Село;ПРОЛЕТАРКА;0122382205
Село;ТАНКОВЕ;0122382207
Село;КРАСНОАРМІЙСЬКЕ;0122382401
Село;НАДЕЖДИНЕ;0122382402
Село;СМУШКИНЕ;0122382403
Село;МАГАЗИНКА;0122382601
Село;БОГАЧІВКА;0122382602
Село;НОВОІВАНІВКА;0122382603
Село;НОВООЛЕКСАНДРІВКА;0122382604
Село;НОВОПАВЛІВКА;0122383001
Село;ДОЛИНКА;0122383002
Село;ПРИВІЛЬНЕ;0122383003
Село;ОРЛІВСЬКЕ;0122383701
Село;ЗНАМ'ЯНКА;0122383702
Село;НОВОМИКОЛАЇВКА;0122383703
Село;ШАТРИ;0122383704
Село;ПОЧЕТНЕ;0122384801
Село;П'ЯТИХАТКА;0122384802
Село;СОВХОЗНЕ;0122385901
Село;РИСОВЕ;0122385902
Село;ТАВРІЙСЬКЕ;0122385903
Село;ФІЛАТІВКА;0122387001
Село;КАРПОВА БАЛКА;0122387002
Місто;ЩОЛКІНЕ;0122710500
СМТ;ЛЕНІНЕ;0122755100
СМТ;БАГЕРОВЕ;0122755300
Село;ІВАНІВКА;0122755301
Село;ОСТАНІНЕ;0122780401
Село;ЗЕЛЕНИЙ ЯР;0122780402
Село;ПІСОЧНЕ;0122780404
Село;БАТАЛЬНЕ;0122780801
Село;ЮЖНЕ;0122780802
Село;ЯЧМІННЕ;0122780803
Село;БЄЛІНСЬКЕ;0122781201
Село;ВЕРХНЬОЗАМОРСЬКЕ;0122781202
Село;ЗОЛОТЕ;0122781203
Село;НИЖНЬОЗАМОРСЬКЕ;0122781204
Село;НОВОВІДРАДНЕ;0122781205
Село;СТАНЦІЙНЕ;0122781206
Село;ВИНОГРАДНЕ;0122781301
Село;РОМАНОВЕ;0122781302
Село;ВОЙКОВЕ;0122781601
Село;БОНДАРЕНКОВЕ;0122781602
Селище;ЄГОРОВЕ;0122781603
Село;КУРОРТНЕ;0122781604
Село;ГЛАЗІВКА;0122782001
Село;ОСОВИНИ;0122782002
Село;ЮРКИНЕ;0122782003
Село;ГОРНОСТАЇВКА;0122782401
Село;ЗАВІТНЕ;0122782801
Село;КОСТИРІНЕ;0122782802
Село;НАБЕРЕЖНЕ;0122782803
Село;ЯКОВЕНКОВЕ;0122782804
Село;ІЛЛІЧЕВЕ;0122783201
Село;КАЛИНІВКА;0122783601
Село;КІРОВЕ;0122783701
Село;ВУЛКАНІВКА;0122783702
Село;ЯРКЕ;0122783703
Село;КРАСНОГІРКА;0122783901
Село;КОРОЛЬОВЕ;0122783902
Село;ЛЕНІНСЬКЕ;0122784601
Село;ФОНТАН;0122784603
Село;ЛУГОВЕ;0122784801
Село;ЄРОФЄЄВЕ;0122784802
Село;МАРФІВКА;0122785101
Село;НОВОСЕЛІВКА;0122785103
Село;ПРУДНИКОВЕ;0122785104
Село;МАР'ЇВКА;0122785401
Село;БОРИСІВКА;0122785402
Село;В'ЯЗНИКОВЕ;0122785403
Село;ПТАШКИНЕ;0122785404
Село;МИСОВЕ;0122785801
Село;АЗОВСЬКЕ;0122785802
Село;ЗАВОДСЬКЕ;0122785803
Село;СЕМЕНІВКА;0122785804
Село;НОВОМИКОЛАЇВКА;0122786101
Село;ОКТЯБРСЬКЕ;0122786201
Село;ПРИОЗЕРНЕ;0122786401
Село;СЕМИСОТКА;0122787501
Село;КАМ'ЯНСЬКЕ;0122787502
Село;ЛЬВОВЕ;0122787503
Село;ПЕТРОВЕ;0122787504
Село;СОЛЯНЕ;0122787505
Село;ФРОНТОВЕ;0122787506
Село;УВАРОВЕ;0122788001
Село;ЧЕЛЯДІНОВЕ;0122788401
Село;ОГОНЬКИ;0122788402
Село;ЧИСТОПІЛЛЯ;0122788601
Село;ЗАТИШНЕ;0122788602
Село;ЛІБКНЕХТІВКА;0122788603
Село;ТАСУНОВЕ;0122788604
СМТ;НИЖНЬОГІРСЬКИЙ;0123155100
Село;ЗЕЛЕНЕ;0123155101
Село;ЛІНІЙНЕ;0123155102
Село;ЯКИМІВКА;0123180401
Село;ДВОРІЧЧЯ;0123180402
Село;ЛУЖКИ;0123180403
Село;ДРОФИНЕ;0123180601
Село;СТРЕПЕТОВЕ;0123180602
Село;ЯСТРУБКИ;0123180603
Село;ОМЕЛЯНІВКА;0123180801
Село;ЖЕЛЯБОВКА;0123181201
Село;ЛОМОНОСОВЕ;0123181202
Село;ЖЕМЧУЖИНА;0123181501
Село;ПІНИ;0123181502
Село;ПРИРІЧНЕ;0123181503
Село;ЗОРКІНЕ;0123182001
Село;МЕЖОВЕ;0123182002
Село;НІЖИНСЬКЕ;0123182003
Село;ШИРОКЕ;0123182004
Село;ІВАНІВКА;0123182201
Село;ЗАРІЧЧЯ;0123182202
Село;ТАМБОВКА;0123182203
Село;ТАРАСІВКА;0123182204
Село;ІЗОБІЛЬНЕ;0123182401
Село;КІСТОЧКІВКА;0123182601
Село;ФРУНЗЕ;0123182602
Село;ЛИСТВИННЕ;0123182801
Село;КИРСАНІВКА;0123182802
Село;ЦВІТУЩЕ;0123182803
Село;МИТРОФАНІВКА;0123183001
Село;БУРЕВІСНИК;0123183002
Село;ПЛОДОВЕ;0123183003
Село;РОЗЛИВИ;0123183004
Село;ЧЕРВОНЕ;0123183005
Село;МИХАЙЛІВКА;0123183401
Село;КУНЦЕВЕ;0123183402
Село;УЮТНЕ;0123183403
Село;НОВОГРИГОРІВКА;0123184601
Село;ВЛАДИСЛАВІВКА;0123184602
Село;КОРІННЕ;0123184603
Село;ОХОТСЬКЕ;0123185001
Село;РОДНИКИ;0123185002
Село;ПШЕНИЧНЕ;0123185201
Село;ДВОРОВЕ;0123185202
Село;ЛЮБИМІВКА;0123185203
